,birthday,known_for_department,deathday,id,name,gender,biography,place_of_birth,profile_path
41,1952-07-24,Directing,,5216,Gus Van Sant,2,"Gus Green Van Sant, Jr. (born July 24, 1952) is an American director, screenwriter, painter, photographer, musician, and author. He was nominated for an Academy Award for Achievement in Directing for his 1997 film Good Will Hunting and his 2008 film Milk, and won the Palme d'Or at the 2003 Cannes Film Festival for his film Elephant. He lives in Portland, Oregon.

His early career was devoted to directing television commercials in the Pacific Northwest. In his films, he has dealt with themes concerning homosexuality and other marginalized subcultures.

His filmography as writer and director includes an adaptation of Tom Robbins' novel Even Cowgirls Get the Blues, which features a diverse cast (Keanu Reeves, Roseanne Barr, Uma Thurman, and k.d. lang, with cameos by William S. Burroughs and Heather Graham, among others); and My Own Private Idaho, also starring Reeves as well as River Phoenix.

He wrote the screenplays for most of his early movies, and wrote one novel, Pink. A book of his photography has also been published, called 108 Portraits.","Louisville, Kentucky, USA",/kICHgrSh4eiICjz8piy9fTXIgph.jpg
42,,Acting,,128203,Pamala Tyson,0,Pamala Tyson is an actress.,,/gCWBzMwtKZ20YY2h7h3mLkdIlI0.jpg
43,,Acting,,91035,Jessica Brooks Grant,1,,,/n98f0OqqyW9XIg8kIm5y9mwUNQA.jpg
44,1959-05-26,Acting,,34839,Kevin Gage,2,"​From Wikipedia, the free encyclopedia

Kevin Gage (born May 26, 1959) is an American actor. He was married to actress Kelly Preston from 1985 to 1987.

Gage was born as Kevin Gaede in Wisconsin, where he grew up dividing his time between attending school, working in his grandparents' dairy, and participating in sports. Upon graduating from high school, he hitchhiked his way to Florida, where he saw the ocean for the very first time. He lived and worked there for a time, taking odd jobs to support himself, although ultimately decided to gravitate out west to California. Once in Los Angeles, he was spotted by a theatrical agent and asked if he had ever given any serious thought to becoming an actor. During a subsequent audition, Gage displayed obvious natural abilities, and it was suggested that he enroll in an acting workshop to further develop his talent. He soon came to love the profession, and over time began to find work in playing small parts on series television and low-budget film productions. His breakthrough role eventually came in the DeNiro / Pacino crime epic, Heat, portraying the ominous thrill-killing loose cannon, Waingro. Gage went on from there to give numerous other performances in many films.

On July 30, 2003, Gage was sentenced to 41 months in federal prison, starting September 29, 2003, for cultivating marijuana despite owning a California-issued license for medicinal marijuana. Gage stated that he cultivated medicinal cannabis to help him cope with chronic pain and stress from injuries suffered in a 1993 car accident, as well as for a sister with cancer and brother with multiple sclerosis. He was released September 21, 2005.

Gage was involved in another cannabis-related incident on April 29, 2008 in Annapolis, Maryland. The actor was reportedly arrested for smoking marijuana after police were called to the scene of a loud party. Afterwards, Gage was cited and released on his own recognizance.

Description above from the Wikipedia article Kevin Gage (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia.","Wisconsin, United States",/egIApa0PPsHkAwrGnOAUtdqO6CQ.jpg
45,1929-01-09,Directing,2012-03-18,140354,Ulu Grosbard,2,"From Wikipedia, the free encyclopedia

Ulu Grosbard (born 9 January 1929) is a Belgian-born, naturalized American theatre and film director and film producer.

Born in Antwerp, Grosbard emigrated to Havana with his family in 1942. In 1948, they moved to the United States, where he earned Bachelor of Arts and Master of Arts degrees from the University of Chicago. He studied then at the Yale School of Drama for one year before joining the United States Army, and he became a naturalized citizen in 1954.

Grosbard gravitated towards theatre when he relocated to New York City in the early 1960s. After directing The Days and Nights of BeeBee Fenstermaker off-Broadway, he earned his first Broadway credit with The Subject Was Roses, for which he was nominated for the Tony Award for Best Direction of a Play in 1964. That same year he won the Obie Award for Best Direction and the Drama Desk Award for Outstanding Director of a Play for an off-Broadway revival of the Arthur Miller play A View from the Bridge, for which Dustin Hoffman served as stage manager and assistant director.

Grosbard's additional Broadway credits include Miller's The Price; David Mamet's American Buffalo, which earned him Tony and Drama Desk Award nominations; Woody Allen's The Floating Light Bulb; and a revival of Paddy Chayefsky's The Tenth Man.

In Hollywood, Grosbard worked as an assistant director on Splendor in the Grass, West Side Story, The Hustler, The Miracle Worker, and The Pawnbroker  before helming the screen adaptation of The Subject Was Roses on his own. Additional screen credits include Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me? and Straight Time, both with Dustin Hoffman; True Confessions and Falling in Love, both with Robert De Niro; Georgia for which he won the Grand Prix des Amériques at the Montréal World Film Festival; and The Deep End of the Ocean.

Grosbard has been married to actress Rose Gregorio since 1965.

Description above from the Wikipedia article Ulu Grosbard, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Antwerp, Belgium",/hqTLWKs9oyQA8nKgZPnQH5NnkoQ.jpg
46,1959-07-26,Acting,,1979,Kevin Spacey,2,"Kevin Spacey Fowler (born July 26, 1959), better known by his stage name Kevin Spacey, is an  American actor of screen and stage, film director, producer, screenwriter and singer who has resided in the United Kingdom since 2003. He began his career as a stage actor during the 1980s before obtaining supporting roles in film and television. He gained critical acclaim in the early 1990s that culminated in his first Academy Award for Best Supporting Actor for the neo-noir crime thriller The Usual Suspects (1995), and an Academy Award for Best Actor for midlife crisis-themed drama American Beauty (1999).

His other starring roles have included the comedy-drama film Swimming with Sharks (1994), psychological thriller Seven (1995), the neo-noir crime film L.A. Confidential (1997), the drama Pay It Forward (2000), the science fiction-mystery film K-PAX (2001), and the role of Lex Luthor in the superhero film Superman Returns (2006).

Description above from the Wikipedia article Kevin Spacey, licensed under CC-BY-SA, full list of contributors on Wikipedia.","South Orange, New Jersey, USA",/dlVRkUYKyZdJ39AN55cY1LoyXAP.jpg
47,1958-08-31,Acting,,40680,Julie Brown,1,"From Wikipedia, the free encyclopedia. Julie Ann Brown (born August 31, 1958) is an American actress, comedienne, novelty singer-songwriter and screenwriter. Brown is perhaps best known for her work in the 1980s, where she often played a quintessential valley girl character.

Much of her comedy has revolved around the mocking of famous people (with a strong and frequently revisited focus on Madonna).

Description above from the Wikipedia article Julie Brown, licensed under CC-BY-SA,full list of contributors on Wikipedia.","Van Nuys, California, USA",/8a1NwjIyjOWmYTqdj4fuxqKlzR5.jpg
48,1948-05-12,Acting,,18262,Richard Riehle,2,"An American actor. Richard attended the University of Notre Dame, where he became heavily involved with the University Theatre.","Menomonee Falls, Wisconsin, USA",/gb4f3af6VQQbe8AEiUQZnxxVElN.jpg
49,,Acting,,1384185,Crystal Celeste Grant,0,,,
50,1937-10-30,Directing,,16862,Claude Lelouch,2,"From Wikipedia, the free encyclopedia.

Claude Barruck Joseph Lelouch (born 30 October 1937) is a French film director, writer, cinematographer, actor and producer.

Description above from the Wikipedia article Claude Lelouch, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Paris, France",/ngmASNQKQLSMriQajGZKaEcWcqc.jpg
51,1974-05-11,Acting,,5442,Benoît Magimel,2,"Benoît Magimel is a French actor. A prolific actor who was 14 when he appeared in his first film, Magimel has starred in a variety of roles in French cinema.

For a number of years, he lived with French actress Juliette Binoche, with whom he co-starred in 1999's Children of the Century and later had a daughter, Hana, born in 1999. The relationship ended in 2003.","Paris, France",/aDNOzcFpleAbGiWie9LmwijedTT.jpg
52,1945-10-17,Acting,,9284,Thomas Kopache,2,,Manchester - New Hampshire - USA,/x7ef1rpmCE6rjeuJq30rw0zSQE0.jpg
53,1955-03-17,Acting,,534,Mark Boone Junior,2,"Mark Boone Junior (born March 17, 1955) is an American actor perhaps best known for his roles as Bobby Munson in FX's Sons of Anarchy and in two films by Christopher Nolan, Memento and Batman Begins. He frequently portrays a crooked cop or other authority figure, and has had a prolific career, appearing in over 70 movies, which also include 2 Fast 2 Furious, Get Carter, The General's Daughter, The Thin Red Line, Seven, and Die Hard 2. He has also made guest appearances on TV in Law & Order, Seinfeld, Curb Your Enthusiasm, and several other shows. He had a one-second appearance as ""New York Guy"" in Armageddon when Eddie Griffin's character asked him what the news on TV was all about.

Boone started his career beside long time friend Steve Buscemi. Together the two provided audiences in the New York and Jersey area with stand up comedy. He has appeared in some of Steve's directorial work, including Trees Lounge and most recently (2004) as ""Evil"" in Lonesome Jim. He is a regular cast member on Sons of Anarchy, where he plays Bobby Munson. In 2010 he played the role of Vincent Dooly's father in The Mother of Invention.

Boone has written and produced some films of his own. He currently resides in Isla Vista, California.

Description above from the Wikipedia article Mark Boone Junior, licensed under CC-BY-SA, full list of contributors on Wikipedia​","Cincinnati, Ohio, U.S.A",/riibKDljUzdSfIZygymhKx9yNPx.jpg
54,,Acting,,975569,Joseph Melito,2,,,/rPgGtrcKQsV9wlDW91kgjGm39K5.jpg
55,,Acting,,168162,Brian Evers,2,,,
56,1958-05-31,Acting,,21366,Roma Maffia,1,"Roma Maffia (born May 31, 1958) is an American actress.

Maffia was born in Manhattan, New York of West Indian, English and German descent; her Italian surname derives from her stepfather.

Maffia began her acting career in Off-Broadway and Off-Off-Broadway productions. In 1994 she made her film debut playing the minor role of Carmen in director Ron Howard's film The Paper. Soon after, she landed a role on the television series Chicago Hope. Maffia's television career continued as she played 'Grace Alvarez,' the forensic pathologist for the Violent Crimes Task Force for four seasons on NBC's Profiler. She has had guest-star and recurring roles on shows such as ER, The West Wing, Law & Order and The Sopranos.

Her most widely seen performances may be playing Seattle attorney Catherine Alvarez in the film Disclosure (1994), also starring Michael Douglas and Demi Moore, and her role on the show Nip/Tuck. She followed this up with a series of performances as Vanessa Galiano in the TV series, Law & Order and as Judge Victoria Peyton on ABC's Boston Legal.

Since 2003 Maffia has appeared as Liz Cruz on the FX Network series Nip/Tuck, the anesthesiologist colleague of two dysfunctional plastic surgeons. Coincidentally, Maffia and Julian McMahon also worked on the TV show Profiler together.

Maffia is a 1973 graduate of Saint Michael Academy in New York City.",Manhattan - New York City - New York - USA,/tfscWeBOGA9aysLbYoOduimpTOk.jpg
57,1974-07-21,Acting,,442574,Micki Duran,1,,"Diamond Bar, CA, USA",/5MiSXY7FcgrxUGfsnhE89LaSWDg.jpg
58,,Acting,,1204013,Dominick Grieco,0,,,
59,1957-09-28,Acting,,2170,Marc Duret,2,,"Nice, France",/jOLK1qN6z3P1dnxYPrYxe0OV0CE.jpg
60,1959-01-24,Acting,,42645,Felicity Dean,1,,,/ed4GXMxcMxhcEtxgesdgN9IGg6s.jpg
61,1951-01-30,Acting,,110001,Phil Collins,2,"While other major artists trudge painfully through a handful of over promoted releases each decade; this drummer/actor/singer/producer has been constantly active in all manner of contradictory and unlikely projects.  His history with Genesis is well documented from their art-house beginnings to multi-platinum status as the band grew up, lost Steve Hackett and then Peter Gabriel and ended up making videos with tongues firmly in their cheeks.  Collins launched his solo career twenty nine years ago with “Face Value” (‘81), followed by “Hello, I Must Be Going” (’82), “No Jacket Required” (’85), “…But Seriously” (’89), “Both Sides” (’93), “Dance Into The Light” (’96) and “Testify” (‘02) picking up numerous awards including 7 Grammy’s, 2 Oscar nominations and a Golden Globe for “Two Hearts”.  After leaving Genesis in 1996 he released a “Hits” album in 1998.  Between Phil’s solo and Genesis recordings and excluding his other activities, Phil has sold over 200 million records.

His acting CV reveals that he first trod the boards at 14 when he took the role of the Artful Dodger in a West End production of “Oliver”.  He also made childhood cameos in the Beatles “A Hard Days Night” (‘64) and “Chitty Chitty Bang Bang” (’69).  Since then he’s starred with Julie Walters in “Buster” (’88), took the lead role as the arch-villain in “Frauds” (’92), made a brief appearance in Spielberg’s “Hook” (’92) and played the Greek owner of a chain of gay bath houses in “And The Band Played On” (’92).  In addition to this Phil “The Spiv” turned up in a 1985 episode of Miami Vice and four years later he took the part of Uncle Ernie in The Who’s rock opera “Tommy”.

He has written songs for the Disney Feature’s “Tarzan” and “Brother Bear”.  “You’ll Be In My Heart” from “Tarzan” won a Golden Globe Award for “Best Song Written For A Film”.  This song, in addition to the soundtrack was also nominated in the Grammys and won for “Best Original Song In A Movie”.  Phil also won an Oscar for the same song in March 2000. ",London - England - UK,/kSJk12TuJc6nFkbsC5VdNbk0OrD.jpg
62,,Acting,,1384901,Ray J,0,,,
63,1961-07-18,Acting,,4513,Elizabeth McGovern,1,"Elizabeth McGovern (born July 18, 1961) is an American film, television, and theater actor.

In 1980, while studying at Juilliard, McGovern was offered a part in her first film, Ordinary People, in which she played the girlfriend of troubled teenager Timothy Hutton.

The following year she completed her education as an actress at the American Conservatory Theatre and at The Juilliard School, and began to appear in plays, first Off-Broadway and later in famous theaters.

In 1981, she earned an Academy Award nomination for Best Supporting Actress for her role as Evelyn Nesbit in the film Ragtime.

In 1984, she starred in Sergio Leone's gangster epic Once Upon a Time in America as Robert De Niro's romantic interest, Deborah Gelly. In 1989, she played Mickey Rourke's girlfriend in Johnny Handsome, directed by Walter Hill, and the same year she appeared as a rebellious lesbian in Volker Schlöndorff's thriller The Handmaid's Tale.","Evanston, Illinois, USA",/egt1d836NcYDTeiokz5Im8gHU4r.jpg
64,1968-12-21,Acting,,74940,Lumi Cavazos,1,"From Wikipedia, the free encyclopedia

Lumi Cavazos (born December 21, 1968) is a Mexican actress who won the Best Actress awards at the Tokyo Film Festival, and Brazil’s Festival de Gramado for her portrayal of ""Tita"" in the 1993 adaptation of Laura Esquivel’s Mexican novel, Like Water for Chocolate. The film grabbed the attention of US film critics and moviegoers, and facilitated her entry into the American film industry. She subsequently relocated to Los Angeles.

Born in Monterrey, Cavazos began her acting career at the age of 15, and made her film debut in Busi Cortes’ 1988 El Secreto de Romalia. She has acted in numerous Mexican films and television series since then, and has also done a fair amount of work in the U.S., appearing in such television dramas as ""Sugar Town"". Cavazos is sometimes credited as ""Rosita Lumi Cavazos"".

Description above from the Wikipedia article Lumi Cavazos, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Monterrey, Nuevo Leon, Mexico",/qD7DyoqUUqoaFTMz8IJkfOYwf5M.jpg
65,1963-11-05,Acting,,32287,Scott Sowers,2,Scott Sowers is an actor and director.,Arlington County - Virginia - USA,/5La5xtIg32vkQQfUD0AsdLcF8OD.jpg
66,,Acting,,134713,Kendall Cunningham,0,,,
67,1969-07-31,Acting,,11628,Loren Dean,2,"​From Wikipedia, the free encyclopedia

Loren Dean (born July 31, 1969) is an American actor. He has appeared onstage and in feature films.

Description above from the Wikipedia article Loren Dean, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Las Vegas, Nevada, USA",/7qYin1jdiWuuFobjlacatyojqds.jpg
